Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m)
Malgi,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,75.01666667,14.77083333,41,12,104,16.94,451,40,9.28,NaN
Malla,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.55,16.74166667,298.2,58,213.5,97.28,3140,561.5,8.05,NaN
Mallanayakanahalli,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2019,75.62555556,14.50222222,276.9,82,256.2,40.128,1650,188,8.15,NaN
Malpe,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.7,13.35,21.3,50,286.7,6.05,620,62,8.085,NaN
Mandarti,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.81111111,13.49777778,21.3,2,30.5,1.21,140,26,7.441,NaN
Mandya Koppalu,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.8,12.39166667,67,14,248,10.944,825,145,8.7,NaN
Manki1,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.49166667,14.1,38,22,122,12.1,476,52,9.06,NaN
Mannuru,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.70333333,13.53583333,21.3,4,48.8,3.63,210,26,7.201,NaN
Maravanthe,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.64444444,13.725,21.3,2,18.3,1.21,130,21,7.345,NaN
MargoliBasrur,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.73194444,13.62694444,14.2,6,61,3.63,200,22,7.64,NaN
