Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m)
Amdalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.25,14.78333333,5,56.8,16,130,14.52,0.58,8.13,NaN
Amingad,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2020,75.94166667,16.05416667,2.8,568,24,152.5,128.684,2.48,9.03,NaN
Ammatti,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.86666667,12.24166667,2.01,49.7,32,229,42.56,0.124751,7.2,6.47
Amminalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.80833333,14.3875,0,17.75,24,61,6.05,0.45,9.09,NaN
Ampaaru,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.82111111,13.64722222,2.5,16,2,18.3,2.42,0,7.213,NaN
Anchedoddi,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,77.07722222,12.39527778,5.52,223.65,34,280,40.128,0.76,8.02,4.01
Anemall,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.76833333,12.9325,4,32,64,140,7,1.54,8.2,NaN
Angondanahalli,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2020,78.36,13.07,33,183,38,189.1,13.31,1.35,8.45,9.98
Ankadakatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.69416667,13.60416667,4.7,14.2,4,24.4,2.42,0.247706,7.455,NaN
Ankola1,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.3,14.66666667,9,56.8,22,103.7,20.57,0.27,7.82,NaN
Ankusha Doddy,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2020,76.61222222,16.03444444,9.4,525.4,92,359.9,177.244,4,8.328,3.64
Anshi,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.38333333,14.9875,1.2,15,18,82,7.26,0.37,8.71,NaN
Antarvalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.45944444,14.47111111,0.4,33,16,114,2.42,0.37,8.46,NaN
Arabi Kottanuru,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2020,78.0425,13.12111111,0,24.85,16,85.4,8.47,0.22,8.09,NaN
Arakere1,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.8,12.41666667,19.94,88.75,10,257,20.672,0.96,9.54,NaN
Ardi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.97444444,13.51805556,2.9,28.4,4,54.9,2.42,0.0825688,7.405,NaN
Arehalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.81138889,13.05361111,26.7,504.1,58,292.8,81.338,1.25,8.258,NaN
Areshirur,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.74416667,13.83194444,2,14.2,4,27,1.21,0.100917,7.22,NaN
Arge Karwar,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.1625,14.76916667,0,15,16,77,8,0.66,7.66,NaN
AsoduKalavara,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.73916667,13.58944444,5,28.4,4,61,3.63,0.247706,7.908,NaN
Avani,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2020,78.32694444,13.10666667,0,46.15,22,80,14.52,0.75,8.39,NaN
Ayyangeri,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.5775,12.3525,1.45,17.75,68,36.6,10.944,0.43,8.5,NaN
Baaguru,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,76.375,13.025,38,163,20,49,53,1.32,9.2,NaN
Badagandi,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2020,75.64166667,16.35,86.6,291.1,28,439.2,58.272,2.76,8.751,NaN
Badal,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.60555556,14.425,2,14.2,18,102,9.68,0.42,9.41,NaN
Badami1,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2020,75.67777778,15.91666667,8.25,63.9,24,67.1,7.284,0.76,8.797,NaN
Badamikatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.90416667,13.32916667,2.5,14.2,2,24.4,1.21,0.0825688,7.68,NaN
Baindur 1,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.67583333,13.80472222,136,1505.2,94,268.4,94.38,0.908257,8.342,NaN
Bairakur,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2020,78.48916667,13.23694444,26,261,90,317.2,39.93,1.88,8.66,NaN
Balasinda,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Middle,2020,76.59527778,12.96472222,25,142,48,305,90,1.26,9.4,NaN
Baligatta,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.63722222,12.74861111,16.45,145,10,126,17.024,0.36,8.71,NaN
Ballamavathu,CGWB,Karnataka,Kodagu,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,75.88111111,12.17166667,1.45,35.5,62,67.1,18.24,0.42,9.7,NaN
Banavasi,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2020,75.01888889,14.53416667,32,28.4,34,79.3,7.26,0.4,8.36,NaN
Bandal,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.66666667,14.53333333,2.8,17.75,20,51,1.21,0.45,8.36,NaN
Bandi,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Lower,2020,76.05833333,15.73333333,3,187,22,276,20.672,1.14,8.23,4.49
Banhatti,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2020,75.13194444,16.47916667,5.45,227.2,116,91.5,36.42,1.35,7.976,NaN
Bantkal,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.79555556,13.25194444,2.1,35.5,2,18.3,1.21,0.183486,8.055,NaN
Basavanahalli A,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.85,12.25,1.83,28.4,102,240,24.32,0.36,8.2,NaN
Basavanapura,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.99166667,12.56666667,2.75,187,26,320,35.264,0.48,8.26,NaN
Battarga,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.5625,17.38333333,18.1,418.9,120,353.8,231,0.78,8.128,NaN
Belekeri,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.26666667,14.725,4.4,24.85,6,122,12.1,0.39,7.73,NaN
Belur1,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.88333333,13.16666667,22,46,104,366,32,1.42,8.93,NaN
Beluru,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.92861111,12.57194444,1.2,31.95,34,51,17.024,0.16,8,NaN
Bharati Nagar,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,77.03472222,12.4675,1.66,240,40,493,51.072,0.78,8.26,NaN
Bhatkal1,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.55,13.98333333,2.8,42.6,8,103.7,14.52,0.59,8.08,NaN
Biccodu A,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.86361111,13.07777778,15,78,96,293,24,1.38,8.29,NaN
Bidar1,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2020,77.52361111,17.91333333,11.2,96,36,153,20.57,1.56,8.44,4.55
Bidurmalai Koppalu,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,76.03888889,12.76805556,14,75,40,281,66,1.45,8.9,NaN
Bilgi1,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.79722222,14.3625,7.4,19,12,50,7.26,0.33,9.55,NaN
Bindiganavale,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.63611111,12.87805556,53,58,10,123,24.32,1.16,9.99,NaN
Bittangala,CGWB,Karnataka,Kodagu,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,75.84333333,12.16722222,0.36,34,60,210,31.616,0.249503,8.2,NaN
Bolashettihal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2020,76.50722222,16.39055556,3.4,113.6,38,152.5,24.32,1.88,7.814,NaN
Bomanhal,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Upper,2020,76.34444444,16.07222222,69.5,376.3,60,500.2,70.412,3.4,8.208,NaN
Bommenanahalli,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Lower,2020,76.26166667,14.21916667,96.2,159.75,44,384.3,38.848,0.66,8.074,6.95
Borgi,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2020,77.04027778,18.03111111,19,139,36,262,31.46,0.61,8.73,NaN
Brahmavara,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.74416667,13.43555556,0.8,21.3,4,42.7,1.21,0.0550459,7.606,NaN
Budikote,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,2020,78.13166667,12.90527778,5.3,237.85,44,164.7,42.35,0.5,8.5,NaN
Bydarahalli,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.755,12.50333333,0.61,167,22,244,42.56,1.16,8.29,NaN
Chandavar,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.47916667,14.4,1.4,39,10,132,4.84,0.49,8.03,NaN
Chattahalli,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.83611111,12.36527778,1.88,41,300,198,15.808,0.44,8.2,NaN
Cheerambane,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.91805556,12.4375,1.4,17.75,50,87,14.592,0.17,7.7,NaN
Cheyyandane,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.69166667,12.22777778,0.65,21.3,84,95,14.592,0.0467817,7.9,NaN
Chikapalya,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.76972222,12.40861111,0.92,67.45,12,252,34.048,1.07,9.14,NaN
Chikbergi,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2020,76.50555556,15.75833333,11.8,220.1,60,457.5,70.412,0.87,7.663,NaN
Chikkahonakuni,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2020,76.99166667,16.06666667,2.8,78.1,48,384.3,19.424,7.9,8.515,NaN
Chikksarur,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2020,76.63722222,16.11083333,6.7,255.6,96,183,104.404,1.2,8.154,NaN
Chinamgeri,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.57305556,17.21583333,2.2,71,24,268.4,51.072,1.26,7.86,NaN
Chincherki,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Upper,2020,76.78805556,16.20111111,2.6,39.05,60,475.8,43.704,2.1,8.168,NaN
Chitapur A,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,77.06972222,17.11666667,2.6,85.2,36,280.6,26.752,1.56,7.856,NaN
Chitradurga1,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Lower,2020,76.4,14.21666667,24.3,81.65,28,353.8,33.992,1.69,7.614,NaN
Choudepur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.54166667,17.24166667,11,482.8,152,195.2,138.624,0.69,7.798,NaN
Dandeli Dw,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.62583333,15.24194444,2.4,28.4,40,176.9,8.47,0.53,7.92,NaN
Deevalli,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.55416667,14.41694444,2.6,24.85,10,152.5,15.73,0.21,8.24,NaN
Devarakolli,CGWB,Karnataka,Kodagu,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,75.63944444,12.44944444,1.68,35.5,54,65,3.648,0.25,8.2,NaN
Devarayasamudra,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2020,78.3,13.12361111,33,220.1,50,164.7,26.62,1.86,8.91,NaN
Devegowdana Koppalu,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.69444444,12.4975,12.12,113.6,30,288,34.048,1.18,7.933,NaN
Dhareshwara,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.41194444,14.36833333,1.8,17.75,6,72,13.31,0,7.77,NaN
Dibbanagal,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.53055556,14.26388889,6.4,42.6,38,115,14.52,0,8.16,NaN
Dogganal,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Upper,2020,76.07361111,14.03194444,8.2,301.75,22,146.4,66.77,0.73,8.364,NaN
Dongargaon,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2020,77.25833333,18.25833333,2.3,21.3,30,122,24.2,0.88,8.56,NaN
Dummi,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Upper,2020,76.08333333,14.05,514.6,553.8,22,305,93.478,0.83,8.326,NaN
Ekamba,CGWB,Karnataka,Bidar,Godavari Basin,Manjra,2020,77.37222222,18.28055556,10.5,82,36,129,12.1,2.24,8.61,NaN
Elleshpura,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,76.20666667,12.81694444,73,71,68,171,32,1.42,9.75,NaN
Gajahalli,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2020,78.06666667,13.31527778,8.8,231,60,146.4,30.25,1.23,9.08,NaN
Galaga,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Upper,2020,76.84138889,16.26722222,16,163.3,44,298.9,77.696,1.2,8.415,NaN
Gerusoppa Kpc Colony,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.65555556,14.24722222,2.2,50,28,122,14.52,0,8.17,NaN
Ghattarga,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.40916667,17.09333333,2.3,305.3,128,146.4,102.144,0.79,7.696,NaN
G.Kundipatna,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.88111111,12.59027778,18.53,118,10,138,29.184,0.57,9.18,NaN
Golgod,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2020,74.86305556,14.28666667,0.6,20,12,95,8.47,0,7.65,NaN
Goliangadi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.99166667,13.54027778,3.1,14.2,4,18.3,1.21,0.330275,7.42,NaN
Golihole,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.73611111,13.83416667,1.3,14.2,2,18.3,1.21,0,7.366,NaN
Gonikoppal,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.94166667,12.21666667,1.4,42,62,115.9,29.184,0.155939,9.6,NaN
Googi,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2020,76.63916667,16.38361111,3.3,127.8,22,414.8,21.888,3.66,8.19,NaN
Gopadi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.65305556,13.68916667,5.6,7.1,2,42.7,1.21,0,7.186,NaN
Gopalapura,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.88805556,12.55277778,1.4,67.45,94,161,25.536,0.36,7.8,NaN
Gopishitta,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.2425,14.90944444,0,21.3,18,93,13,0,8.34,NaN
Gotegali,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.3025,14.90388889,3.8,17.75,12,73.2,18.15,0.18,9.36,NaN
Gudibandeii,CGWB,Karnataka,Kolar,Pennar Basin,Pennar Upper,2020,77.68416667,13.67611111,6.3,28.4,20,30.5,8.47,1.1,8.34,NaN
Gudpalli,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2020,78.48,13.31333333,2.5,177.5,58,164.7,44.77,1.79,8.26,NaN
Gummagola,CGWB,Karnataka,Dharwad,Krishna Basin,Krishna Upper,2020,75.15194444,15.59194444,12,110,36,158,36.48,1.39,8.12,5.55
Gurmitkal1,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Middle,2020,77.4,16.875,2.5,120.7,52,158.6,41.344,1.11,7.745,NaN
Haathuru,CGWB,Karnataka,Kodagu,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,75.88111111,12.17166667,1.06,21.3,54,170,21.888,0.155939,8.23,NaN
Hadli,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,77.13333333,12.4,1.12,380,32,337,58.368,1.17,7.98,NaN
Hagare,CGWB,Karnataka,Hassan,Krishna Basin,Tungabhadra Lower,2020,75.96944444,13.13638889,15,146,60,329,90,1.34,8.72,NaN
Halbadi Jn,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.93472222,13.5175,2.9,28.4,4,18.3,2.42,0,7.107,NaN
Haldihal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.96666667,17.225,3.1,134.9,40,390.4,92.416,0.88,7.902,NaN
Haldipur,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.425,14.35416667,3.6,24.85,18,98,12.1,0,7.58,NaN
Halkal,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.80194444,13.82638889,1.1,14.2,4,24.4,1.21,0,7.302,NaN
Hampanur,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Upper,2020,76.16388889,14.35138889,15.6,284,36,201.3,76.482,0.45,7.947,NaN
Hangarakatte,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.69166667,13.54166667,10.9,28.4,12,115.9,4.84,0.440367,8.107,NaN
Hanumakoppa,CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2020,75.1,14.7,5.1,209.45,72,134.2,60.8,0.31,8.12,4.61
Hanumali,CGWB,Karnataka,Chitradurga,Krishna Basin,Tungabhadra Upper,2020,76.08472222,13.99722222,44.7,521.85,44,286.7,108.046,0.76,8.088,NaN
Hapkarni,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.28333333,14.90277778,1.8,36,16,112,14.52,0.59,9.05,NaN
HaralahalliA,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.67916667,12.49027778,7.9,54,10,152,15.808,1.16,9.01,NaN
Harihalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.85583333,12.84083333,10,18,24,49,10,1.43,8.7,NaN
Harlakudi,CGWB,Karnataka,Hassan,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,75.74277778,12.95666667,2,21,52,134,10,1.44,8.21,NaN
Hebbal B,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2020,76.59777778,16.48194444,61.7,284,54,469.7,42.56,3.76,8.022,NaN
Hematemane,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2020,74.85833333,14.22916667,1.4,8,12,55,3.63,0,7.68,NaN
Hennali,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.83388889,12.83111111,3,18,24,61,12,1.45,8.67,NaN
Heravanadu,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.70833333,12.37916667,1.49,42.6,30,48.8,14.592,0.08,8.24,NaN
Hirekerur (A),CGWB,Karnataka,Haveri,Krishna Basin,Tungabhadra Upper,2020,75.41666667,14.45,8.9,159.75,90,219.6,17.024,0.78,8.18,NaN
Hirematha,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.43527778,14.26333333,5.6,29,20,108,15,0,8.19,NaN
Holenarsipur,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,76.25833333,12.79166667,6,64,44,61,27,1.48,9.42,NaN
Honakona,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.18416667,14.89111111,3,27,18,96,14.52,0.39,8.37,NaN
Honnegowdanahalli,CGWB,Karnataka,Chamarajanagar,Cauvery Basin,Cauvery Middle,2020,76.62194444,11.76,1.5,62,32,183,29.04,0.67,7.71,7.62
Hosalli,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2020,74.89166667,14.25277778,0.6,14.2,22,79.3,2.42,0,7.7,NaN
Hosapalya,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.95,12.93333333,12,96,96,177,36,1.41,8.58,NaN
Hosapatna,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.90388889,12.38138889,1.68,60.35,42,146.4,38.912,0.3,8.26,NaN
Hosuru Betekeri,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.88111111,12.22138889,1.09,21.3,32,170.8,18.24,0,7.6,NaN
Huda,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,77.28472222,17.17916667,31.2,170.4,48,244,19.456,0.44,8.024,NaN
Hulikal,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,76.04305556,12.69833333,102,60,28,159,36,1.4,9.24,NaN
Hulkoti,CGWB,Karnataka,Gadag,Krishna Basin,Krishna Upper,2020,75.55,15.42916667,6,260,42,460,44.992,1.74545,8.16,6.25
Hullahally,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2020,75.75277778,12.90361111,2,21,24,85,12,1.43,7.73,NaN
Hunnada Doddi,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,77.0325,12.52055556,3.8,152,32,341.624,34.048,0.95,7.955,NaN
Hunsemakki,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.78166667,13.59,0.98,14.2,4,12.2,1.21,0,9.17,NaN
Idagunji,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.49444444,14.22777778,2,17.75,10,91.5,15.73,0,7.51,NaN
Idooru Kunjadi,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.78277778,13.75444444,2.8,7.1,6,103.7,4.84,0,7.768,NaN
Igoor,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.84555556,12.53611111,1.43,24.85,62,176.9,31.616,0.4,8.4,NaN
Ilhal,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2020,75.96555556,15.96166667,56.9,56.8,12,256.2,41.276,0.94,8.895,NaN
Islur,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2020,74.88333333,14.68333333,16,53,24,162,20.57,0.41,8.82,NaN
Itagi,CGWB,Karnataka,Koppal,Krishna Basin,Tungabhadra Upper,2020,75.96861111,15.44361111,115,930,42,390,62.016,0.94,8.18,NaN
Janekal,CGWB,Karnataka,Raichur,Krishna Basin,Tungabhadra Lower,2020,76.95388889,16.01527778,413,1263.8,164,286.7,267.08,0.18,8.025,NaN
Jeratgi,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.45,17.01666667,2.2,142,32,170.8,17.024,1.02,8.398,NaN
Jogur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.61666667,17.10833333,3.7,184.6,60,207.4,55.936,2.29,7.823,NaN
Joida,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.475,15.16666667,2,28.4,28,152,6.05,0.43,8.21,NaN
Kaarekaadu,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.89888889,12.21138889,1.43,35.5,10,121,29.184,0.114355,8.1,NaN
Kabbinahakkalu,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2020,74.67638889,14.25972222,2,10.65,8,91.5,12.1,0,7.75,NaN
Kadanga,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.74111111,12.22416667,1.07,28.4,40,142,23.104,0.223513,8,NaN
Kadanur,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.7625,12.20833333,2,38,64,140.3,18.24,0,8.23,NaN
Kadra,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2020,74.34861111,14.825,0.6,17.75,14,123,10,0.32,8.4,NaN
Kakargal,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Upper,2020,77.06666667,16.35,2.7,142,32,347.7,41.276,4.8,8.745,NaN
Kakkabe,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2020,75.64305556,12.25472222,1.1,17.75,66,107,14.592,0.291086,8.1,NaN
Kakkeri,CGWB,Karnataka,Kalaburagi,Krishna Basin,Krishna Upper,2020,76.58333333,16.36666667,20.3,113.6,44,323.3,48.64,4.28,8.102,NaN
Kalamangi,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Middle,2020,77.27083333,16.27083333,6.2,191.7,48,695.4,65.556,4.2,8.481,NaN
Kallahallimandya,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2020,76.86666667,12.5,1.34,95.85,100,342.062,4.864,1.23,8.87,NaN
Kamalanagar,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.75833333,17.575,1,284,76,134.2,99.712,0.94,8.065,NaN
Kamalapur,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2020,76.98333333,17.58333333,4.6,35.5,28,109.8,38.912,1.06,8.563,NaN
Kanagod,CGWB,Karnataka,Uttara Kannada,Krishna Basin,Tungabhadra Upper,2020,74.93916667,14.38944444,3.2,32,8,102,18.15,0,7.64,NaN
